model_key,method,strategy_name,selection_count,race_count,hit_rate,avg_win_odds,median_win_odds,avg_selected_prob,avg_expected_net_profit_per_unit,avg_realized_net_profit_per_unit,sum_realized_net_profit_per_unit,roi_pct,rank_roi,rank_hit_rate,rank_sum_profit,rank_mean
catboost::market_aware,sigmoid_race_norm,top_pick_ev_ge_0_05,20,20,0.4,4.1850000000000005,4.25,0.33760153537289167,0.16315853316774276,0.515,10.3,51.5,1.0,1.0,2.0,1.3333333333333333
catboost::market_aware,sigmoid_race_norm,top_pick_ev_ge_0,62,62,0.3870967741935484,3.7500000000000004,3.55,0.34346239394731526,0.06629193136358964,0.29677419354838713,18.400000000000002,29.67741935483871,2.0,2.0,1.0,1.6666666666666667
catboost::market_aware,sigmoid_race_norm,top_pick_ev_ge_0_odds_le_12,62,62,0.3870967741935484,3.7500000000000004,3.55,0.34346239394731526,0.06629193136358964,0.29677419354838713,18.400000000000002,29.67741935483871,2.0,2.0,1.0,1.6666666666666667
catboost::market_aware,sigmoid_race_norm,top_pick_ev_ge_0_odds_le_20,62,62,0.3870967741935484,3.7500000000000004,3.55,0.34346239394731526,0.06629193136358964,0.29677419354838713,18.400000000000002,29.67741935483871,2.0,2.0,1.0,1.6666666666666667
logreg_lbfgs::market_aware,raw_race_norm,top_pick_ev_ge_0_10,17,17,0.29411764705882354,4.576470588235295,4.6,0.2827237497125558,0.2157161562894443,0.16470588235294117,2.8,16.470588235294116,3.0,7.0,6.0,5.333333333333333
catboost::market_aware,sigmoid_race_norm,top_pick_ev_ge_0_10,11,11,0.36363636363636365,4.218181818181818,4.3,0.37575881716857307,0.23647358004732216,0.045454545454545414,0.49999999999999956,4.545454545454541,6.0,3.0,8.0,5.666666666666667
logreg_lbfgs::market_aware,raw_race_norm,top_pick_ev_ge_0_05,43,43,0.27906976744186046,4.265116279069767,4.3,0.28096949057689424,0.12821601137772973,0.086046511627907,3.700000000000001,8.604651162790699,4.0,8.0,5.0,5.666666666666667
lightgbm::market_aware,raw_race_norm,top_pick_ev_ge_0_10,70,70,0.24285714285714285,5.12,5.5,0.25899267795019304,0.20418094248919233,0.07857142857142858,5.500000000000001,7.8571428571428585,5.0,11.0,3.0,6.333333333333333
lightgbm::market_aware,raw_race_norm,top_pick_ev_ge_0_05,106,106,0.24528301886792453,4.861320754716981,5.1,0.26221599454887407,0.15974620849399218,0.04528301886792453,4.800000000000001,4.528301886792454,7.0,10.0,4.0,7.0
catboost::market_aware,sigmoid_race_norm,top_pick_all,1104,1104,0.3269927536231884,3.1094202898550725,3.0,0.31496272644437795,-0.12820179259980405,-0.08414855072463767,-92.89999999999999,-8.414855072463768,9.0,4.0,10.0,7.666666666666667
catboost::market_aware,sigmoid_race_norm,top_pick_all_odds_le_12,1104,1104,0.3269927536231884,3.1094202898550725,3.0,0.31496272644437795,-0.12820179259980405,-0.08414855072463767,-92.89999999999999,-8.414855072463768,9.0,4.0,10.0,7.666666666666667
catboost::market_aware,sigmoid_race_norm,top_pick_all_odds_le_20,1104,1104,0.3269927536231884,3.1094202898550725,3.0,0.31496272644437795,-0.12820179259980405,-0.08414855072463767,-92.89999999999999,-8.414855072463768,9.0,4.0,10.0,7.666666666666667
lightgbm::market_aware,raw_race_norm,top_pick_ev_ge_0,174,174,0.25287356321839083,4.421264367816092,4.4,0.2760392105162608,0.10553710818281499,0.004022988505747122,0.6999999999999993,0.4022988505747122,8.0,9.0,7.0,8.0
lightgbm::market_aware,raw_race_norm,top_pick_ev_ge_0_odds_le_12,174,174,0.25287356321839083,4.421264367816092,4.4,0.2760392105162608,0.10553710818281499,0.004022988505747122,0.6999999999999993,0.4022988505747122,8.0,9.0,7.0,8.0
lightgbm::market_aware,raw_race_norm,top_pick_ev_ge_0_odds_le_20,174,174,0.25287356321839083,4.421264367816092,4.4,0.2760392105162608,0.10553710818281499,0.004022988505747122,0.6999999999999993,0.4022988505747122,8.0,9.0,7.0,8.0
lightgbm::market_aware,raw_race_norm,top_pick_all,1104,1104,0.3233695652173913,3.1894927536231883,3.0,0.31725109439262233,-0.09740473286683991,-0.09003623188405797,-99.4,-9.003623188405797,10.0,5.0,11.0,8.666666666666666
lightgbm::market_aware,raw_race_norm,top_pick_all_odds_le_12,1104,1104,0.3233695652173913,3.1894927536231883,3.0,0.31725109439262233,-0.09740473286683991,-0.09003623188405797,-99.4,-9.003623188405797,10.0,5.0,11.0,8.666666666666666
lightgbm::market_aware,raw_race_norm,top_pick_all_odds_le_20,1104,1104,0.3233695652173913,3.1894927536231883,3.0,0.31725109439262233,-0.09740473286683991,-0.09003623188405797,-99.4,-9.003623188405797,10.0,5.0,11.0,8.666666666666666
logreg_lbfgs::market_aware,raw_race_norm,top_pick_all,1104,1104,0.3125,3.100634057971015,3.0,0.31463937128989544,-0.12129694676962299,-0.15063405797101448,-166.29999999999998,-15.063405797101447,12.0,6.0,12.0,10.0
logreg_lbfgs::market_aware,raw_race_norm,top_pick_all_odds_le_12,1104,1104,0.3125,3.100634057971015,3.0,0.31463937128989544,-0.12129694676962299,-0.15063405797101448,-166.29999999999998,-15.063405797101447,12.0,6.0,12.0,10.0
logreg_lbfgs::market_aware,raw_race_norm,top_pick_all_odds_le_20,1104,1104,0.3125,3.100634057971015,3.0,0.31463937128989544,-0.12129694676962299,-0.15063405797101448,-166.29999999999998,-15.063405797101447,12.0,6.0,12.0,10.0
logreg_lbfgs::market_aware,raw_race_norm,top_pick_ev_ge_0,90,90,0.2222222222222222,4.204444444444444,4.3,0.26909918741390426,0.07184048858644895,-0.14444444444444443,-12.999999999999998,-14.444444444444443,11.0,12.0,9.0,10.666666666666666
logreg_lbfgs::market_aware,raw_race_norm,top_pick_ev_ge_0_odds_le_12,90,90,0.2222222222222222,4.204444444444444,4.3,0.26909918741390426,0.07184048858644895,-0.14444444444444443,-12.999999999999998,-14.444444444444443,11.0,12.0,9.0,10.666666666666666
logreg_lbfgs::market_aware,raw_race_norm,top_pick_ev_ge_0_odds_le_20,90,90,0.2222222222222222,4.204444444444444,4.3,0.26909918741390426,0.07184048858644895,-0.14444444444444443,-12.999999999999998,-14.444444444444443,11.0,12.0,9.0,10.666666666666666
